RA,CÓDIGO TURMA,TURMA
21025414,NAESZT010-13SB,Políticas de Infraestrutura A-Noturno (São Bernardo)
21008115,NB1BIS0003-15SB,Bases Matemáticas B1-Noturno (São Bernardo)
21008115,NB2BCJ0204-15SB,Fenômenos Mecânicos B2-Noturno (São Bernardo)
21008115,NABIN0406-15SB,Introdução à Probabilidade e à Estatística A-Noturno (São Bernardo)
21008115,NBBCM0504-15SB,Natureza da Informação B-Noturno (São Bernardo)
21008115,DSBCM0505-15SB,Processamento da Informação S-Matutino (São Bernardo)
11111209,NAESTM004-17SA,Ciência dos Materiais A-Noturno (Santo André)
11111209,DAESTM001-17SA,Estado Sólido A-Matutino (Santo André)
11111209,NA1ESTO004-17SA,Instrumentação e Controle A1-Noturno (Santo André)
11111209,NAESTM011-17SA,"Propriedades Elétricas, Magnéticas e Ópticas A-Noturno (Santo André)"
11111209,NA2ESTM010-17SA,Propriedades Mecânicas e Térmicas A2-Noturno (Santo André)
11101613,NA2ESTA002-17SA,Circuitos Elétricos I A2-Noturno (Santo André)
11101613,DAESTA001-17SA,Dispositivos Eletrônicos A-Matutino (Santo André)
11101613,DAESTA014-17SA,Sistemas CAD/CAM A-Matutino (Santo André)
11101613,DAESTO014-17SB,Termodinâmica Aplicada I A-Matutino (São Bernardo)
11101613,NAESTI003-17SA,Transformadas em Sinais e Sistemas Lineares A-Noturno (Santo André)
11201722436,NA1BCL0306-15SB,Biodiversidade: Interações entre organismos e ambiente A1-Noturno (São Bernardo)
11201722436,NA6BCJ0204-15SB,Fenômenos Mecânicos A6-Noturno (São Bernardo)
11201722436,NA1BCN0402-15SB,Funções de Uma Variável A1-Noturno (São Bernardo)
11201722436,NA1BCN0404-15SB,Geometria Analítica A1-Noturno (São Bernardo)
11201722436,NA1BCM0504-15SB,Natureza da Informação A1-Noturno (São Bernardo)
11057214,NA2BIJ0207-15SA,Bases Conceituais da Energia A2-Noturno (Santo André)
11010111,DAMCTA004-17SA,Arquitetura de Computadores A-Matutino (Santo André)
11010111,DAMCTA037-17SA,Banco de Dados A-Matutino (Santo André)
11010111,DAMCTA008-17SA,Computação Gráfica A-Matutino (Santo André)
11010111,DAMCTA014-15SA,Inteligência Artificial A-Matutino (Santo André)
11010111,DA1MCTA028-15SA,Programação Estruturada A1-Matutino (Santo André)
11002813,NA1ESTI002-17SA,Eletrônica Digital A1-Noturno (Santo André)
11002813,NAESTB010-17SB,Legislação Relacionada à Saúde A-Noturno (São Bernardo)
11002813,NA4MCTA028-15SA,Programação Estruturada A4-Noturno (Santo André)
11045315,DB6BCL0308-15SA,"Bioquímica: Estrutura, Propriedade e Funções de Biomoléculas B6-Matutino (Santo André)"
11045315,DA1BCN0404-15SA,Geometria Analítica A1-Matutino (Santo André)
11045315,NAESZB029-17SB,Gestão de Tecnologia Hospitalar I A-Noturno (São Bernardo)
11045315,DAMCTC002-15SA,Introdução à Neurociência A-Matutino (Santo André)
11045315,DABIN0406-15SB,Introdução à Probabilidade e à Estatística A-Matutino (São Bernardo)
11050811,NBESZU028-17SA,Geotecnia Aplicada ao Planejamento Urbano-Ambiental B-Noturno (Santo André)
11003212,NAESZU014-17SA,Métodos de Tomada de Decisão Aplicados ao Planejamento Urbano-Ambiental A-Noturno (Santo André)
11003212,NAESTU037-17SA,Sistemas de Tratamento de Água A-Noturno (Santo André)
11003212,NAESTU020-17SA,Transferência de Massa A-Noturno (Santo André)
11003212,NAESZU020-17SA,"Transportes, Uso e Ocupação do Solo A-Noturno (Santo André)"
21031311,NAESHC037-17SB,Econometria III A-Noturno (São Bernardo)
21031311,NA2BCN0402-15SB,Funções de Uma Variável A2-Noturno (São Bernardo)
21031311,NAESTG023-17SB,Organização do Trabalho A-Noturno (São Bernardo)
21010416,DA1BIR0004-15SA,Bases Epistemológicas da Ciência Moderna A1-Matutino (Santo André)
21010416,NB5BCL0308-15SA,"Bioquímica: Estrutura, Propriedade e Funções de Biomoléculas B5-Noturno (Santo André)"
21010416,NAMCTB009-17SA,Cálculo Numérico A-Noturno (Santo André)
21010416,DB1BCK0103-15SA,Física Quântica B1-Matutino (Santo André)
21010416,NBBIN0406-15SA,Introdução à Probabilidade e à Estatística B-Noturno (Santo André)
21010416,DABCN0405-15SB,Introdução às Equações Diferenciais Ordinárias A-Matutino (São Bernardo)
21010416,DA2MCTA028-15SA,Programação Estruturada A2-Matutino (Santo André)
11058607,DA2ESTO001-17SA,Circuitos Elétricos e Fotônica A2-Matutino (Santo André)
11058607,DAESTO016-17SA,Fenômenos de Transporte A-Matutino (Santo André)
11058607,DBESTO006-17SA,Materiais e Suas Propriedades B-Matutino (Santo André)
11058607,DAESZU014-17SA,Métodos de Tomada de Decisão Aplicados ao Planejamento Urbano-Ambiental A-Matutino (Santo André)
11058607,DAESZM033-17SA,Reciclagem e Ambiente A-Matutino (Santo André)
11058607,NAESZU031-17SA,Reúso de Água A-Noturno (Santo André)
11058607,NAESZU020-17SA,"Transportes, Uso e Ocupação do Solo A-Noturno (Santo André)"
21063415,DAESTE037-17SA,Análise Econômica de Projetos Energéticos A-Matutino (Santo André)
21063415,DBMCTB009-17SA,Cálculo Numérico B-Matutino (Santo André)
21063415,NA1ESTA002-17SA,Circuitos Elétricos I A1-Noturno (Santo André)
21063415,DAESTO008-17SA,Mecânica dos Sólidos I A-Matutino (Santo André)
21063415,DA1ESTO017-17SA,Métodos Experimentais em Engenharia A1-Matutino (Santo André)
21063415,DAESTO012-17SA,Princípios de Administração A-Matutino (Santo André)
11081709,DAESTS004-17SB,Desempenho de Aeronaves A-Matutino (São Bernardo)
11081709,DAESTS007-17SB,Estabilidade e Controle de Aeronaves A-Matutino (São Bernardo)
11081709,NA1ESTA008-17SA,Sistemas de Controle II A1-Noturno (Santo André)
11081709,NAESZA006-17SA,Teoria de Controle Ótimo A-Noturno (Santo André)
11101910,NAESTU025-17SB,Avaliação de Impactos Ambientais A-Noturno (São Bernardo)
11101910,NAESTU023-17SA,Biomas Brasileiros A-Noturno (Santo André)
11101910,NB6BCJ0204-15SA,Fenômenos Mecânicos B6-Noturno (Santo André)
