RA,CÓDIGO TURMA,TURMA
11063816,NB6BCL0308-15SA,"Bioquímica: Estrutura, Propriedade e Funções de Biomoléculas B6-Noturno (Santo André)"
11063816,NBBIQ0602-15SA,Estrutura e Dinâmica Social B-Noturno (Santo André)
11063816,NB2BCK0103-15SA,Física Quântica B2-Noturno (Santo André)
11063816,NAESTO005-17SA,Introdução às Engenharias A-Noturno (Santo André)
11063816,NAESHT010-17SB,Métodos de Planejamento A-Noturno (São Bernardo)
11006413,DAESTB029-17SB,Análise e Controle de Sistemas Mecânicos A-Matutino (São Bernardo)
11006413,DAESTB030-17SB,Física Médica II A-Matutino (São Bernardo)
11006413,DAESTB022-17SB,Fundamentos de Eletrônica Analógica e Digital A-Matutino (São Bernardo)
11006413,DAESTB009-17SB,Princípios de Imagens Médicas A-Matutino (São Bernardo)
11119715,NBMCTB001-17SA,Álgebra Linear B-Noturno (Santo André)
11119715,NA2BCK0103-15SA,Física Quântica A2-Noturno (Santo André)
11119715,NAESTO005-17SA,Introdução às Engenharias A-Noturno (Santo André)
11119715,NAESTA019-17SA,Projeto Assistido por Computador A-Noturno (Santo André)
11119715,NB1BCS0002-15SA,Projeto Dirigido B1-Noturno (Santo André)
21075213,NA1MCTA037-17SA,Banco de Dados A1-Noturno (Santo André)
21075213,NBMCTB009-17SA,Cálculo Numérico B-Noturno (Santo André)
21075213,NABCN0405-15SA,Introdução às Equações Diferenciais Ordinárias A-Noturno (Santo André)
11201722255,NA3BCL0306-15SA,Biodiversidade: Interações entre organismos e ambiente A3-Noturno (Santo André)
11201722255,NA2BCJ0204-15SA,Fenômenos Mecânicos A2-Noturno (Santo André)
11201722255,NA3BCN0402-15SA,Funções de Uma Variável A3-Noturno (Santo André)
11201722255,NA3BCN0404-15SA,Geometria Analítica A3-Noturno (Santo André)
11201722255,NA3BCM0504-15SA,Natureza da Informação A3-Noturno (Santo André)
11201720618,NA2BCL0306-15SA,Biodiversidade: Interações entre organismos e ambiente A2-Noturno (Santo André)
11201720618,NA2BCJ0204-15SA,Fenômenos Mecânicos A2-Noturno (Santo André)
11201720618,NA3BCN0402-15SA,Funções de Uma Variável A3-Noturno (Santo André)
11201720618,NA1BCN0404-15SA,Geometria Analítica A1-Noturno (Santo André)
11201720618,NA2BCM0504-15SA,Natureza da Informação A2-Noturno (Santo André)
11041012,DAESTB002-17SB,Bases Biológicas para Engenharia I A-Matutino (São Bernardo)
11041012,DABIJ0207-15SB,Bases Conceituais da Energia A-Matutino (São Bernardo)
11041012,DAESZG013-17SB,Empreendedorismo A-Matutino (São Bernardo)
11041012,DAESZB021-17SB,Introdução à Engenharia Biomédica A-Matutino (São Bernardo)
11041012,DAESTB009-17SB,Princípios de Imagens Médicas A-Matutino (São Bernardo)
11201723003,DABIS0005-15SA,Bases Computacionais da Ciência A-Matutino (Santo André)
11201723003,DABIJ0207-15SA,Bases Conceituais da Energia A-Matutino (Santo André)
11201723003,DABIS0003-15SB,Bases Matemáticas A-Matutino (São Bernardo)
11201723003,DA2BCL0306-15SB,Biodiversidade: Interações entre organismos e ambiente A2-Matutino (São Bernardo)
11201723003,DB2BCM0504-15SA,Natureza da Informação B2-Matutino (Santo André)
11201722273,DB3BCL0306-15SA,Biodiversidade: Interações entre organismos e ambiente B3-Matutino (Santo André)
11201722273,DB9BCJ0204-15SA,Fenômenos Mecânicos B9-Matutino (Santo André)
11201722273,DB2BCN0402-15SA,Funções de Uma Variável B2-Matutino (Santo André)
11201722273,DB1BCN0404-15SA,Geometria Analítica B1-Matutino (Santo André)
11201722273,DB2BCM0504-15SA,Natureza da Informação B2-Matutino (Santo André)
11114715,DB1BIJ0207-15SA,Bases Conceituais da Energia B1-Matutino (Santo André)
11114715,DABIR0603-15SA,"Ciência, Tecnologia e Sociedade A-Matutino (Santo André)"
11114715,DABIK0102-15SA,Estrutura da Matéria A-Matutino (Santo André)
11114715,DB2BCN0402-15SB,Funções de Uma Variável B2-Matutino (São Bernardo)
11114715,NA3BCN0404-15SA,Geometria Analítica A3-Noturno (Santo André)
11114715,NBBIN0406-15SA,Introdução à Probabilidade e à Estatística B-Noturno (Santo André)
11114715,NB3BCM0504-15SA,Natureza da Informação B3-Noturno (Santo André)
11044012,DABIR0603-15SA,"Ciência, Tecnologia e Sociedade A-Matutino (Santo André)"
11044012,NAESZA018-17SA,Engenharia Óptica e Imagens A-Noturno (Santo André)
11044012,NABIK0102-15SA,Estrutura da Matéria A-Noturno (Santo André)
11044012,DA2BCK0103-15SA,Física Quântica A2-Matutino (Santo André)
11044012,NB1BHO1101-15SB,Introdução à Economia B1-Noturno (São Bernardo)
11044012,DANHT3048-15SA,Princípios de Mecânica Quântica A-Matutino (Santo André)
11044012,NANHT3089-15SA,Trabalho de Conclusão de Curso em Física A-Noturno (Santo André)
11201722243,NA1BIS0003-15SB,Bases Matemáticas A1-Noturno (São Bernardo)
11201722243,NABHO1335-15SB,Formação do Sistema Internacional A-Noturno (São Bernardo)
11201722243,NABHO1101-15SB,Introdução à Economia A-Noturno (São Bernardo)
11201722243,NABHO0001-15SB,Introdução às Humanidades e Ciências Sociais A-Noturno (São Bernardo)
11201722243,NABHP0202-15SB,Pensamento Crítico A-Noturno (São Bernardo)
11117916,NA2BIJ0207-15SA,Bases Conceituais da Energia A2-Noturno (Santo André)
11117916,NB2BCL0306-15SA,Biodiversidade: Interações entre organismos e ambiente B2-Noturno (Santo André)
11117916,NAMCTB009-17SA,Cálculo Numérico A-Noturno (Santo André)
11117916,NAESTO011-17SB,Fundamentos de Desenho Técnico A-Noturno (São Bernardo)
11117916,NBBCN0405-15SA,Introdução às Equações Diferenciais Ordinárias B-Noturno (Santo André)
11162609,DAESZG036-17SA,Conceitos de Marketing A-Matutino (Santo André)
11162609,NAESZG042-17SB,Metodologia de Análise de Riscos A-Noturno (São Bernardo)
11162609,NAESTG014-17SB,Planejamento e Controle da Produção A-Noturno (São Bernardo)
11043809,NAESTI018-17SA,Ondas Eletromagnéticas Aplicadas A-Noturno (Santo André)
11043809,NA1MCTA028-15SA,Programação Estruturada A1-Noturno (Santo André)
11028714,DAMCTB003-17SA,Álgebra Linear Avançada II A-Matutino (Santo André)
11028714,DAMCTA004-17SA,Arquitetura de Computadores A-Matutino (Santo André)
11028714,DAMCTA014-15SA,Inteligência Artificial A-Matutino (Santo André)
11028714,DA1MCTA028-15SA,Programação Estruturada A1-Matutino (Santo André)
11028714,DB1BCS0002-15SA,Projeto Dirigido B1-Matutino (Santo André)
11028714,DAMCTB024-13SA,Trabalho de Conclusão de Curso em Matemática I A-Matutino (Santo André)
11054716,DB3BCL0308-15SA,"Bioquímica: Estrutura, Propriedade e Funções de Biomoléculas B3-Matutino (Santo André)"
11054716,DBBIQ0602-15SA,Estrutura e Dinâmica Social B-Matutino (Santo André)
11054716,DB1BCK0103-15SA,Física Quântica B1-Matutino (Santo André)
11054716,DBMCTA028-15SA,Programação Estruturada B-Matutino (Santo André)
11123610,DAESTU021-17SB,Transportes e Mobilidade Urbana A-Matutino (São Bernardo)
11201721758,NBBCL0306-15SB,Biodiversidade: Interações entre organismos e ambiente B-Noturno (São Bernardo)
11201721758,NB1BCJ0204-15SB,Fenômenos Mecânicos B1-Noturno (São Bernardo)
11201721758,NB1BCN0402-15SB,Funções de Uma Variável B1-Noturno (São Bernardo)
11201721758,NBBCN0404-15SB,Geometria Analítica B-Noturno (São Bernardo)
11201721758,NBBCM0504-15SB,Natureza da Informação B-Noturno (São Bernardo)
11201721579,NBBCL0306-15SB,Biodiversidade: Interações entre organismos e ambiente B-Noturno (São Bernardo)
11201721579,NB3BCJ0204-15SB,Fenômenos Mecânicos B3-Noturno (São Bernardo)
11201721579,NB1BCN0402-15SB,Funções de Uma Variável B1-Noturno (São Bernardo)
11201721579,NBBCN0404-15SB,Geometria Analítica B-Noturno (São Bernardo)
11201721579,NBBCM0504-15SB,Natureza da Informação B-Noturno (São Bernardo)
11128910,NAESTG005-17SB,Engenharia Econômica Aplicada a Sistemas de Gestão A-Noturno (São Bernardo)
11128910,NAESZG031-17SB,Engenharia Humana A-Noturno (São Bernardo)
11128910,DAESZG041-17SB,Gestão da Inovação A-Matutino (São Bernardo)
11076614,DAESTO016-17SA,Fenômenos de Transporte A-Matutino (Santo André)
11076614,NA3BCN0404-15SA,Geometria Analítica A3-Noturno (Santo André)
11076614,NBBCN0405-15SA,Introdução às Equações Diferenciais Ordinárias B-Noturno (Santo André)
11030111,DB2BCK0103-15SA,Física Quântica B2-Matutino (Santo André)
11030111,DABCN0405-15SB,Introdução às Equações Diferenciais Ordinárias A-Matutino (São Bernardo)
21048413,NAESHC037-17SB,Econometria III A-Noturno (São Bernardo)
21048413,NAESHC038-17SB,Economia Monetária A-Noturno (São Bernardo)
21048413,NAESZC019-17SB,Introdução à Elaboração e Análise de Cenários Macroeconômicos A-Noturno (São Bernardo)
11060815,NA2ESTA002-17SA,Circuitos Elétricos I A2-Noturno (Santo André)
11060815,NAESTE015-17SA,Fundamentos de Conversão de Energia Elétrica A-Noturno (Santo André)
11060815,DCESTO017-17SA,Métodos Experimentais em Engenharia C-Matutino (Santo André)
11060815,DAESTA020-17SA,Modelagem e Controle A-Matutino (Santo André)
11060815,NAESTI003-17SA,Transformadas em Sinais e Sistemas Lineares A-Noturno (Santo André)
11201722812,DA3BCL0306-15SA,Biodiversidade: Interações entre organismos e ambiente A3-Matutino (Santo André)
11201722812,DA5BCJ0204-15SA,Fenômenos Mecânicos A5-Matutino (Santo André)
11201722812,DA3BCN0402-15SA,Funções de Uma Variável A3-Matutino (Santo André)
11201722812,DA1BCN0404-15SA,Geometria Analítica A1-Matutino (Santo André)
11201722812,DA2BCM0504-15SA,Natureza da Informação A2-Matutino (Santo André)
11063213,DAESTA023-17SA,Introdução aos Processos de Fabricação A-Matutino (Santo André)
11063213,DAESTE016-17SA,Introdução aos Sistemas Elétricos de Potência A-Matutino (Santo André)
11063213,DAESZA005-17SA,Processadores Digitais em Controle e Automação A-Matutino (Santo André)
11063213,DAESTA010-17SA,Sensores e Transdutores A-Matutino (Santo André)
11063213,DAESTA008-17SA,Sistemas de Controle II A-Matutino (Santo André)
21027714,DAESZR001-13SB,Conflitos no Ciberespaço: Ativismo e Guerra nas Redes Cibernéticas A-Matutino (São Bernardo)
21027714,NAESZR004-13SB,Desafios do Pré-Sal e a Inserção Internacional do Brasil A-Noturno (São Bernardo)
21027714,NAESHC028-17SB,Economia Política A-Noturno (São Bernardo)
21027714,NAESZR019-14SB,Regimes de negociação financeira internacional e a atuação brasileira A-Noturno (São Bernardo)
21027714,NAESHR027-14SB,Trajetórias Internacionais do Continente Africano A-Noturno (São Bernardo)
11060116,NA2BIS0003-15SA,Bases Matemáticas A2-Noturno (Santo André)
11060116,NS6BCJ0204-15SA,Fenômenos Mecânicos S6-Noturno (Santo André)
11060116,NBBIN0406-15SA,Introdução à Probabilidade e à Estatística B-Noturno (Santo André)
11093114,DA1ESTO001-17SA,Circuitos Elétricos e Fotônica A1-Matutino (Santo André)
11093114,NANHT3013-13SA,Física Térmica A-Noturno (Santo André)
11093114,DAESTO011-17SA,Fundamentos de Desenho Técnico A-Matutino (Santo André)
11093114,DBNHI5015-15SA,LIBRAS B-Matutino (Santo André)
11093114,DAESTO008-17SA,Mecânica dos Sólidos I A-Matutino (Santo André)
11093114,NANHT3090-15SA,Práticas de Ensino de Física II A-Noturno (Santo André)
11093114,DAESTO012-17SA,Princípios de Administração A-Matutino (Santo André)
11093114,NANHT3048-15SA,Princípios de Mecânica Quântica A-Noturno (Santo André)
11122009,NAESTA019-17SA,Projeto Assistido por Computador A-Noturno (Santo André)
11122009,NCESTA008-17SA,Sistemas de Controle II C-Noturno (Santo André)
11032016,NABIJ0207-15SB,Bases Conceituais da Energia A-Noturno (São Bernardo)
11032016,DCBIS0003-15SB,Bases Matemáticas C-Matutino (São Bernardo)
11032016,DB1BCL0308-15SB,"Bioquímica: Estrutura, Propriedade e Funções de Biomoléculas B1-Matutino (São Bernardo)"
11032016,NBBIQ0602-15SA,Estrutura e Dinâmica Social B-Noturno (Santo André)
11032016,NS6BCJ0204-15SA,Fenômenos Mecânicos S6-Noturno (Santo André)
11032016,NABIN0406-15SA,Introdução à Probabilidade e à Estatística A-Noturno (Santo André)
11201721569,NB4BCJ0204-15SA,Fenômenos Mecânicos B4-Noturno (Santo André)
11201721569,NB1BCN0402-15SA,Funções de Uma Variável B1-Noturno (Santo André)
11201721569,NB3BCN0404-15SA,Geometria Analítica B3-Noturno (Santo André)
11004915,DANHT4002-13SA,Bioquímica Experimental A-Matutino (Santo André)
11004915,DBESTO006-17SA,Materiais e Suas Propriedades B-Matutino (Santo André)
11004915,DANHT4051-15SA,Química Analítica Clássica I A-Matutino (Santo André)
21020513,DAESTM001-17SA,Estado Sólido A-Matutino (Santo André)
21020513,DANHZ4059-15SA,Indústria de Polímeros A-Matutino (Santo André)
21020513,NAESZM002-17SA,Nanociência e Nanotecnologia A-Matutino (Santo André)
21020513,NAESTM009-17SA,Termodinâmica Estatística de Materiais A-Noturno (Santo André)
21053612,NS3BCJ0204-15SA,Fenômenos Mecânicos S3-Noturno (Santo André)
21053612,NB1BCK0103-15SA,Física Quântica B1-Noturno (Santo André)
21053612,NABIN0406-15SA,Introdução à Probabilidade e à Estatística A-Noturno (Santo André)
21053612,NA2ESTA014-17SA,Sistemas CAD/CAM A2-Noturno (Santo André)
11110114,NBESZG013-17SB,Empreendedorismo B-Noturno (São Bernardo)
11110114,NAESTO008-17SA,Mecânica dos Sólidos I A-Noturno (Santo André)
11110114,NAESTO012-17SA,Princípios de Administração A-Noturno (Santo André)
11110114,NANHZ4035-15SA,Processos Industriais Orgânicos e Inorgânicos A-Noturno (Santo André)
11201722532,NABHO1335-15SB,Formação do Sistema Internacional A-Noturno (São Bernardo)
11201722532,NABHO0001-15SB,Introdução às Humanidades e Ciências Sociais A-Noturno (São Bernardo)
11201722532,NABHP0202-15SB,Pensamento Crítico A-Noturno (São Bernardo)
11089611,NA2BIQ0602-15SA,Estrutura e Dinâmica Social A2-Noturno (Santo André)
11089611,NA1BCK0103-15SA,Física Quântica A1-Noturno (Santo André)
11089611,NBBIN0406-15SA,Introdução à Probabilidade e à Estatística B-Noturno (Santo André)
11033616,DB2BCL0308-15SB,"Bioquímica: Estrutura, Propriedade e Funções de Biomoléculas B2-Matutino (São Bernardo)"
11033616,NA1BIQ0602-15SA,Estrutura e Dinâmica Social A1-Noturno (Santo André)
11033616,NA4BCN0402-15SA,Funções de Uma Variável A4-Noturno (Santo André)
11033616,DANHT4071-15SA,Práticas de Ensino de Química II A-Matutino (Santo André)
11033616,DANHZ5014-15SA,Questões Atuais no Ensino de Ciências A-Matutino (Santo André)
21093815,NABIJ0207-15SB,Bases Conceituais da Energia A-Noturno (São Bernardo)
21093815,NA2BCL0306-15SA,Biodiversidade: Interações entre organismos e ambiente A2-Noturno (Santo André)
21093815,NA1BCL0308-15SA,"Bioquímica: Estrutura, Propriedade e Funções de Biomoléculas A1-Noturno (Santo André)"
21093815,NA2BCK0103-15SA,Física Quântica A2-Noturno (Santo André)
21093815,NA2BCS0002-15SA,Projeto Dirigido A2-Noturno (Santo André)
21081716,DA1BCJ0204-15SB,Fenômenos Mecânicos A1-Matutino (São Bernardo)
21081716,DA1BCN0402-15SB,Funções de Uma Variável A1-Matutino (São Bernardo)
21081716,NA1MCTA028-15SA,Programação Estruturada A1-Noturno (Santo André)
11201722574,NA3BCL0306-15SA,Biodiversidade: Interações entre organismos e ambiente A3-Noturno (Santo André)
11201722574,NA1BCJ0204-15SA,Fenômenos Mecânicos A1-Noturno (Santo André)
11201722574,NA3BCN0402-15SA,Funções de Uma Variável A3-Noturno (Santo André)
11201722574,NA2BCN0404-15SA,Geometria Analítica A2-Noturno (Santo André)
11201722574,NA3BCM0504-15SA,Natureza da Informação A3-Noturno (Santo André)
11201721104,DBBCL0306-15SB,Biodiversidade: Interações entre organismos e ambiente B-Matutino (São Bernardo)
11201721104,NA4BCJ0204-15SB,Fenômenos Mecânicos A4-Noturno (São Bernardo)
11201721104,NB1BCN0402-15SB,Funções de Uma Variável B1-Noturno (São Bernardo)
11201721104,NA1BCN0404-15SB,Geometria Analítica A1-Noturno (São Bernardo)
11201720594,DB2BCL0306-15SA,Biodiversidade: Interações entre organismos e ambiente B2-Matutino (Santo André)
11201720594,DB5BCJ0204-15SA,Fenômenos Mecânicos B5-Matutino (Santo André)
11201720594,DB2BCN0402-15SA,Funções de Uma Variável B2-Matutino (Santo André)
11201720594,DB3BCN0404-15SA,Geometria Analítica B3-Matutino (Santo André)
11201720594,DB2BCM0504-15SA,Natureza da Informação B2-Matutino (Santo André)
21035816,DAMCTB001-17SA,Álgebra Linear A-Matutino (Santo André)
21035816,NA3BCL0308-15SB,"Bioquímica: Estrutura, Propriedade e Funções de Biomoléculas A3-Noturno (São Bernardo)"
21035816,NBESTO902-17SB,Engenharia Unificada I B-Noturno (São Bernardo)
21035816,NABIQ0602-15SB,Estrutura e Dinâmica Social A-Noturno (São Bernardo)
21035816,NABCK0103-15SB,Física Quântica A-Noturno (São Bernardo)
21035816,DAESTO006-17SA,Materiais e Suas Propriedades A-Matutino (Santo André)
11201721499,NA1BCL0306-15SA,Biodiversidade: Interações entre organismos e ambiente A1-Noturno (Santo André)
11201721499,NA8BCJ0204-15SA,Fenômenos Mecânicos A8-Noturno (Santo André)
11201721499,NA2BCN0402-15SA,Funções de Uma Variável A2-Noturno (Santo André)
11201721499,DA2BCN0404-15SA,Geometria Analítica A2-Matutino (Santo André)
11201721499,DB1BCM0504-15SA,Natureza da Informação B1-Matutino (Santo André)
21048815,DAESZR004-13SB,Desafios do Pré-Sal e a Inserção Internacional do Brasil A-Matutino (São Bernardo)
21048815,DAESHR004-13SB,Economia Política Internacional da Energia A-Matutino (São Bernardo)
21048815,DAESHR026-14SB,História do Terceiro Mundo A-Matutino (São Bernardo)
21048815,DAESHR025-14SB,Política Externa Brasileira Contemporânea A-Matutino (São Bernardo)
21048815,DAESHR017-13SB,Sistema ONU e os Desafios do Multilateralismo A-Matutino (São Bernardo)
11107113,NAESZS019-17SB,Aerodinâmica II A-Noturno (São Bernardo)
11107113,DAESTS015-17SB,Combustão I A-Matutino (São Bernardo)
11107113,DAESZS035-17SB,Dinâmica de Fluidos Computacional A-Matutino (São Bernardo)
11107113,NAESTO012-17SB,Princípios de Administração A-Noturno (São Bernardo)
11107113,NA1ESTA008-17SB,Sistemas de Controle II A1-Noturno (São Bernardo)
11107113,NAESTS008-17SB,Vibrações A-Noturno (São Bernardo)
11062214,NA2BIJ0207-15SA,Bases Conceituais da Energia A2-Noturno (Santo André)
11062214,NA2BIS0003-15SA,Bases Matemáticas A2-Noturno (Santo André)
11062214,NA2BCL0306-15SA,Biodiversidade: Interações entre organismos e ambiente A2-Noturno (Santo André)
11062214,NB1BCM0504-15SA,Natureza da Informação B1-Noturno (Santo André)
21034310,NA1ESTO004-17SB,Instrumentação e Controle A1-Noturno (São Bernardo)
21034310,NAESTO008-17SB,Mecânica dos Sólidos I A-Noturno (São Bernardo)
21034310,NA1ESTG022-17SB,Sistemas CAM A1-Noturno (São Bernardo)
11067016,NA2BIS0003-15SA,Bases Matemáticas A2-Noturno (Santo André)
11067016,NB4BCJ0204-15SA,Fenômenos Mecânicos B4-Noturno (Santo André)
11067016,NAESTO011-17SB,Fundamentos de Desenho Técnico A-Noturno (São Bernardo)
11067016,NBBCN0404-15SB,Geometria Analítica B-Noturno (São Bernardo)
11201721842,DA1BCL0306-15SB,Biodiversidade: Interações entre organismos e ambiente A1-Matutino (São Bernardo)
11201721842,DA3BCJ0204-15SB,Fenômenos Mecânicos A3-Matutino (São Bernardo)
11201721842,DA2BCN0402-15SB,Funções de Uma Variável A2-Matutino (São Bernardo)
11201721842,DA1BCN0404-15SB,Geometria Analítica A1-Matutino (São Bernardo)
11201721842,DA1BCM0504-15SB,Natureza da Informação A1-Matutino (São Bernardo)
11106912,DAMCTA002-17SA,Algoritmos e Estruturas de Dados II A-Matutino (Santo André)
11106912,DB2BCK0103-15SA,Física Quântica B2-Matutino (Santo André)
11106912,DAMCTA014-15SA,Inteligência Artificial A-Matutino (Santo André)
11106912,DAMCTA017-17SA,Programação Matemática A-Matutino (Santo André)
11098016,NA1BIR0004-15SA,Bases Epistemológicas da Ciência Moderna A1-Noturno (Santo André)
11098016,NA2BCL0308-15SA,"Bioquímica: Estrutura, Propriedade e Funções de Biomoléculas A2-Noturno (Santo André)"
11098016,NBBCN0405-15SA,Introdução às Equações Diferenciais Ordinárias B-Noturno (Santo André)
11201720310,NA2BCL0306-15SB,Biodiversidade: Interações entre organismos e ambiente A2-Noturno (São Bernardo)
11201720310,NA1BCJ0204-15SB,Fenômenos Mecânicos A1-Noturno (São Bernardo)
11201720310,NA1BCN0402-15SB,Funções de Uma Variável A1-Noturno (São Bernardo)
11201720310,NA1BCN0404-15SB,Geometria Analítica A1-Noturno (São Bernardo)
11201720310,NA2BCM0504-15SB,Natureza da Informação A2-Noturno (São Bernardo)
11125215,DAMCTB001-17SA,Álgebra Linear A-Matutino (Santo André)
11125215,DS6BCJ0204-15SA,Fenômenos Mecânicos S6-Matutino (Santo André)
11125215,NA1BCK0103-15SA,Física Quântica A1-Noturno (Santo André)
11125215,NAMCZB009-13SA,Geometria Não Euclidiana A-Noturno (Santo André)
11125215,DANHZ5016-15SA,História da Educação A-Matutino (Santo André)
11125215,DANHI5015-15SA,LIBRAS A-Matutino (Santo André)
11066916,NBBIS0003-15SA,Bases Matemáticas B-Noturno (Santo André)
11066916,NA5BCL0308-15SA,"Bioquímica: Estrutura, Propriedade e Funções de Biomoléculas A5-Noturno (Santo André)"
11066916,NA6BCJ0204-15SB,Fenômenos Mecânicos A6-Noturno (São Bernardo)
21002611,DAESZP002-13SB,Instituições Judiciais e Políticas Públicas A-Matutino (São Bernardo)
21002611,DAESZT010-13SB,Políticas de Infraestrutura A-Matutino (São Bernardo)
11050015,DBMCTB009-17SA,Cálculo Numérico B-Matutino (Santo André)
11050015,DB1ESTA004-17SA,Circuitos Elétricos II B1-Matutino (Santo André)
11050015,NA1ESTI002-17SA,Eletrônica Digital A1-Noturno (Santo André)
11050015,DBESTI003-17SA,Transformadas em Sinais e Sistemas Lineares B-Matutino (Santo André)
11125815,NA2BCL0308-15SA,"Bioquímica: Estrutura, Propriedade e Funções de Biomoléculas A2-Noturno (Santo André)"
11125815,NBESTO013-17SB,Engenharia Econômica B-Noturno (São Bernardo)
11125815,NBESTO902-17SB,Engenharia Unificada I B-Noturno (São Bernardo)
11125815,NA2BCK0103-15SA,Física Quântica A2-Noturno (Santo André)
11125815,NA1BCS0002-15SA,Projeto Dirigido A1-Noturno (Santo André)
11201721317,NB2BCL0306-15SA,Biodiversidade: Interações entre organismos e ambiente B2-Noturno (Santo André)
11201721317,NB9BCJ0204-15SA,Fenômenos Mecânicos B9-Noturno (Santo André)
11201721317,NB3BCN0402-15SA,Funções de Uma Variável B3-Noturno (Santo André)
11201721317,NB3BCN0404-15SA,Geometria Analítica B3-Noturno (Santo André)
11201721317,NB2BCM0504-15SA,Natureza da Informação B2-Noturno (Santo André)
11201712917,DAESHC003-17SB,Desenvolvimento Socioeconômico A-Matutino (São Bernardo)
11201712917,DAESHC030-17SB,"Desigualdades de Raça, Gênero e Renda A-Matutino (São Bernardo)"
11201712917,DAESHC028-17SB,Economia Política A-Matutino (São Bernardo)
11201712917,DABHQ0002-15SB,Estudos Étnico-Raciais A-Matutino (São Bernardo)
11201712917,DBBIN0406-15SB,Introdução à Probabilidade e à Estatística B-Matutino (São Bernardo)
11201712917,DABHP0202-15SB,Pensamento Crítico A-Matutino (São Bernardo)
11101612,NA2BIS0003-15SA,Bases Matemáticas A2-Noturno (Santo André)
11101612,NB5BCJ0204-15SA,Fenômenos Mecânicos B5-Noturno (Santo André)
11101612,NBESTO011-17SA,Fundamentos de Desenho Técnico B-Noturno (Santo André)
11084310,NAESZG031-17SB,Engenharia Humana A-Noturno (São Bernardo)
11084310,NAESTG025-17SB,Propriedade Intelectual A-Noturno (São Bernardo)
11084310,NAESZG007-17SB,Simulação de Modelos de Gestão A-Noturno (São Bernardo)
11084310,NA1ESTG022-17SB,Sistemas CAM A1-Noturno (São Bernardo)
11022414,DAESZA018-17SA,Engenharia Óptica e Imagens A-Matutino (Santo André)
11022414,DAESTA023-17SA,Introdução aos Processos de Fabricação A-Matutino (Santo André)
11022414,DAESTA014-17SA,Sistemas CAD/CAM A-Matutino (Santo André)
11022414,DB1ESTI013-17SA,Sistemas Microprocessados B1-Matutino (Santo André)
11022414,DAESTI003-17SA,Transformadas em Sinais e Sistemas Lineares A-Matutino (Santo André)
21062216,DABIS0005-15SB,Bases Computacionais da Ciência A-Matutino (São Bernardo)
21062216,DABIQ0602-15SB,Estrutura e Dinâmica Social A-Matutino (São Bernardo)
21062216,DAMCTC002-15SB,Introdução à Neurociência A-Matutino (São Bernardo)
11201721874,DB2BCL0306-15SA,Biodiversidade: Interações entre organismos e ambiente B2-Matutino (Santo André)
11201721874,DB9BCJ0204-15SA,Fenômenos Mecânicos B9-Matutino (Santo André)
11201721874,DB1BCN0402-15SA,Funções de Uma Variável B1-Matutino (Santo André)
11201721874,DB1BCN0404-15SA,Geometria Analítica B1-Matutino (Santo André)
11201721874,DB1BCM0504-15SA,Natureza da Informação B1-Matutino (Santo André)
21014710,NAMCTB001-17SB,Álgebra Linear A-Noturno (São Bernardo)
11027516,NAMCTA037-17SA,Banco de Dados A-Noturno (Santo André)
11027516,NANHI2049-13SB,Lógica Básica A-Noturno (São Bernardo)
11027516,NA1MCTA028-15SA,Programação Estruturada A1-Noturno (Santo André)
21073812,NA2BIS0003-15SB,Bases Matemáticas A2-Noturno (São Bernardo)
21073812,DA1BCN0402-15SB,Funções de Uma Variável A1-Matutino (São Bernardo)
21073812,NAESHC019-17SB,História do Pensamento Econômico A-Noturno (São Bernardo)
21073812,NB1BHO1101-15SB,Introdução à Economia B1-Noturno (São Bernardo)
11201722200,NB1BCL0306-15SA,Biodiversidade: Interações entre organismos e ambiente B1-Noturno (Santo André)
11201722200,NB7BCJ0204-15SA,Fenômenos Mecânicos B7-Noturno (Santo André)
11201722200,NB1BCN0402-15SA,Funções de Uma Variável B1-Noturno (Santo André)
11201722200,NB3BCN0404-15SA,Geometria Analítica B3-Noturno (Santo André)
11201722200,NB2BCM0504-15SA,Natureza da Informação B2-Noturno (Santo André)
11201721613,NA1BCL0306-15SB,Biodiversidade: Interações entre organismos e ambiente A1-Noturno (São Bernardo)
11201721613,NA3BCJ0204-15SB,Fenômenos Mecânicos A3-Noturno (São Bernardo)
11201721613,NA1BCN0402-15SB,Funções de Uma Variável A1-Noturno (São Bernardo)
11201721613,NA1BCN0404-15SB,Geometria Analítica A1-Noturno (São Bernardo)
11201721613,NA1BCM0504-15SB,Natureza da Informação A1-Noturno (São Bernardo)
11201721690,NA1BCL0306-15SA,Biodiversidade: Interações entre organismos e ambiente A1-Noturno (Santo André)
11201721690,NA1BCN0402-15SA,Funções de Uma Variável A1-Noturno (Santo André)
11201721690,NA2BCN0404-15SA,Geometria Analítica A2-Noturno (Santo André)
11201721690,NA1BCM0504-15SA,Natureza da Informação A1-Noturno (Santo André)
11010616,DS3BCJ0204-15SA,Fenômenos Mecânicos S3-Matutino (Santo André)
11010616,DA1BCN0402-15SA,Funções de Uma Variável A1-Matutino (Santo André)
11010616,DB3BCN0404-15SA,Geometria Analítica B3-Matutino (Santo André)
21040316,NBBIR0603-15SB,"Ciência, Tecnologia e Sociedade B-Noturno (São Bernardo)"
21040316,NABIQ0602-15SB,Estrutura e Dinâmica Social A-Noturno (São Bernardo)
